location,most_liked_dish,no_of_restaurants
Whitefield,Hot Chocolate,24
JP Nagar,Raita,24
Basavanagudi,Burgers,24
Whitefield,Wine,24
Kalyan Nagar,Hot Chocolate,24
Kalyan Nagar,Coffee,24
Kalyan Nagar,Cheesecake,24
HSR,Waffles,24
Lavelle Road,Sandwich,24
Brookefield,Tandoori Chicken,24
Koramangala 5th Block,Nutella Waffle,24
Indiranagar,Ginger Tea,24
MG Road,Dal Makhani,24
Whitefield,Beer,24
Cunningham Road,Pasta,24
Electronic City,French Fries,24
JP Nagar,Appam,24
BTM,Dum Biryani,24
HSR,Veg Burger,24
New BEL Road,Biryani,24
Shanti Nagar,Butter Chicken,23
Koramangala 7th Block,French Fries,23
Jayanagar,Noodles,23
Koramangala 7th Block,Cheesecake,23
Indiranagar,Garlic Bread,23
Koramangala 5th Block,Sangria,23
Banashankari,Masala Papad,23
Kalyan Nagar,Mocktails,23
BTM,Faluda,23
JP Nagar,Chicken Wings,23
Koramangala 5th Block,Roti,23
Bannerghatta Road,Peri Peri Chicken,23
Indiranagar,Thick Shakes,23
Whitefield,Hyderabadi Biryani,23
Brigade Road,Beer,23
Church Street,Lassi,23
MG Road,Paratha,23
Koramangala 6th Block,Cheese Burger,23
Koramangala 5th Block,Caramel Custard,23
Jayanagar,Pancakes,23
Koramangala 5th Block,Non Veg Thali,23
Bannerghatta Road,Salads,23
Koramangala 3rd Block,Burgers,23
St. Marks Road,Cocktails,23
Koramangala 4th Block,Paratha,23
Church Street,Noodles,23
Malleshwaram,Sandwiches,23
Frazer Town,Sandwiches,23
Residency Road,Chicken Biryani,23
Indiranagar,Dabeli,23
Jayanagar,Dal Makhani,23
Sarjapur Road,Paneer Tikka,23
Koramangala 5th Block,Sweet Lassi,23
Whitefield,Waffles,23
Marathahalli,Chilli Chicken,23
MG Road,Tom Yum Soup,23
Brigade Road,Chicken Bbq Wings,23
Shivajinagar,Poha,23
Indiranagar,Beef Burger,23
Bellandur,Raita,23
JP Nagar,Pepper Chicken,23
Jayanagar,Sea Food,23
Indiranagar,Panneer Butter Masala,23
MG Road,Potli Biryani,23
BTM,Fish Fry,23
Basavanagudi,Masala Dosa,23
Sarjapur Road,Nachos,23
Malleshwaram,Filter Coffee,23
Koramangala 4th Block,Tandoori Chicken,23
Commercial Street,Chaat,23
Bannerghatta Road,Rolls,23
Lavelle Road,Martini,23
Frazer Town,Shawarma,23
Shivajinagar,Thali,23
Koramangala 1st Block,Cocktails,23
HSR,Aloo Paratha,23
Brookefield,Coffee,23
HSR,Andhra Meal,23
Brigade Road,Salted Caramel,23
Koramangala 6th Block,Jalebi Rabri,23
Marathahalli,Nachos,23
Koramangala 1st Block,Chicken Kebab,23
Lavelle Road,Creme Brulee,23
Bellandur,Salads,23
Shivajinagar,Dal Makhani,23
BTM,Fish,23
Koramangala 4th Block,Sea Food,23
Banaswadi,Biryani,23
Koramangala 5th Block,Pizza,23
Sarjapur Road,Thali,23
BTM,Paneer Parantha,23
Shivajinagar,Breakfast Buffet,23
Koramangala 6th Block,Pork Ribs,23
Banashankari,Masala Dosa,22
Indiranagar,Paneer Tikka,22
St. Marks Road,Buttermilk,22
Koramangala 5th Block,Jumbo Shawarma,22
Langford Town,Cocktails,22
Old Airport Road,Pizza,22
Langford Town,Pizza,22
Koramangala 5th Block,Faluda,22
HSR,Latte,22
Bellandur,Buttermilk,22
Bellandur,Fries,22
Electronic City,Cocktails,22
New BEL Road,Fries,22
BTM,Tandoori Roti,22
Jayanagar,Cheesy Pizza,22
Jayanagar,Filter Coffee,22
HSR,Vada,22
Sarjapur Road,Coffee,22
BTM,Panneer Butter Masala,22
BTM,Raita,22
Koramangala 7th Block,Prawn,22
Bellandur,Thali,22
Langford Town,French Fries,22
BTM,Bhindi Masala,22
Frazer Town,Biryani,22
Koramangala 7th Block,Momos,22
Indiranagar,Hot Chocolate,22
Richmond Road,Pizza,22
Sarjapur Road,Roti,22
JP Nagar,Chop Suey,22
Cunningham Road,Salads,22
Church Street,Mutton Biryani,22
Whitefield,Roti,22
Infantry Road,Salad,22
Indiranagar,Vegetable Biryani,22
Jayanagar,Chicken Guntur,22
Koramangala 5th Block,Fry Prawns,22
MG Road,Paneer Tikka,22
Koramangala 4th Block,Healthy Breakfast,22
Brookefield,Biryani,22
Koramangala 5th Block,Jhol Momos,22
Koramangala 5th Block,Oreo Shake,22
Koramangala 5th Block,Fish Curry,22
Koramangala 7th Block,Smoked Pork,22
Koramangala 4th Block,Mocktails,22
JP Nagar,Tandoori Chicken,22
BTM,Hakka Noodles,22
Brigade Road,Nutella Waffle,22
Koramangala 7th Block,Pork Thali,22
Koramangala 7th Block,Biryani,22
Koramangala 6th Block,Nachos,22
Church Street,Salads,22
Bannerghatta Road,Fish,22
Sarjapur Road,Salads,22
Whitefield,Chicken Biryani,22
Koramangala 5th Block,Soya Chaap,22
HSR,Masala Dosa,22
BTM,Cocktails,22
Koramangala 1st Block,Pita Bread,22
Brigade Road,Momos,22
Koramangala 6th Block,Coffee,22
Jayanagar,Peri Peri Fries,22
JP Nagar,Pancakes,22
Koramangala 5th Block,Rumali Roti,22
Koramangala 7th Block,Veg Thali,22
HSR,Momos,22
Kammanahalli,Noodles,22
Jayanagar,Buffalo Wings,22
Infantry Road,Fish,22
Indiranagar,Momos,22
Marathahalli,Brownie,22
Koramangala 4th Block,Tiramisu,22
Koramangala 5th Block,Neer Dosa,22
BTM,Butter Naan,22
Koramangala 5th Block,Chicken Thukpa,22
Koramangala 5th Block,Murgh Ghee Roast,22
Banashankari,Momos,22
HSR,Ginger Tea,21
Cunningham Road,Noodles,21
Koramangala 1st Block,Beer,21
Bannerghatta Road,Brownie,21
Lavelle Road,Chocolate Cake,21
Koramangala 4th Block,Breakfast Buffet,21
Koramangala 5th Block,Peri Chicken,21
Koramangala 6th Block,Peri Peri Fries,21
Koramangala 1st Block,Spinach Pasta,21
Lavelle Road,Buttermilk,21
Koramangala 5th Block,Coconut Payassam,21
Indiranagar,Mushroom Soup,21
Brookefield,Tea,21
BTM,Beef Fry,21
Koramangala 5th Block,Meat Balls,21
Koramangala 5th Block,Cheese Chilli Toast,21
Brigade Road,Virgin Mojito,21
Koramangala 5th Block,Oreo Waffle,21
Residency Road,Kiwi Lemonade,21
Koramangala 5th Block,Seafood Soup,21
Koramangala 5th Block,Chocolate Mousse,21
Koramangala 7th Block,Kheer,21
Koramangala 2nd Block,Cheesecake,21
Koramangala 5th Block,Chicken Thupka,21
Koramangala 2nd Block,Fish,21
HSR,Noodles,21
Koramangala 4th Block,Dal Makhani,21
Bannerghatta Road,Coffee,21
Koramangala 2nd Block,Lunch Buffet,21
Kalyan Nagar,Momos,21
Kalyan Nagar,Paratha,21
Brigade Road,Fish,21
Residency Road,Banana Smoothie,21
Koramangala 1st Block,Barbeque Burger,21
Residency Road,Coffee,21
Koramangala 6th Block,Chicken Wings,21
Koramangala 5th Block,Waffles,21
Koramangala 7th Block,Chicken Salami,21
Brigade Road,Garlic Bread,21
Koramangala 7th Block,Sea Food,21
Residency Road,Mushroom Soup,21
Koramangala 2nd Block,Sushi,21
Brigade Road,Sandwich,21
Koramangala 5th Block,Spinach Pizza,21
JP Nagar,Momos,21
Koramangala 3rd Block,Chaat,21
Old Airport Road,Salads,21
Jayanagar,Pepper Chicken,21
Koramangala 1st Block,Cappuccino,21
Koramangala 4th Block,Caramel Pudding,21
Lavelle Road,Eclair,21
BTM,Caramel Coffee,21
Koramangala 7th Block,Dal Makhani,21
MG Road,Waffles,21
Koramangala 6th Block,Masala Chai,21
Basavanagudi,Masala Dosa,21
JP Nagar,Tiramisu,21
Koramangala 7th Block,Onion Rings,21
Marathahalli,Panneer Butter Masala,21
Indiranagar,French Fries,21
JP Nagar,Chocolate Waffles,21
Domlur,Faluda,21
Jayanagar,Noodles,21
HSR,Vanilla Ice Cream,21
Koramangala 7th Block,Sandwiches,21
Koramangala 5th Block,Veg Burger,21
Church Street,Biryani,21
Koramangala 5th Block,Filter Kaapi,21
HSR,Chicken Boneless Biryani,21
Residency Road,Almond Soup,21
Marathahalli,Aloo Paratha,21
St. Marks Road,Vada,21
Residency Road,Sunday Brunch,21
Rajajinagar,Vegetable Biryani,21
Koramangala 5th Block,Tender Coconut Payasam,21
Jayanagar,Vegetarian,21
Koramangala 2nd Block,Breakfast Buffet,21
Kalyan Nagar,Tandoori Chicken,21
Lavelle Road,Fruit Tart,21
MG Road,Chicken Keema Pizza,21
Richmond Road,Haleem,21
JP Nagar,Lassi,21
JP Nagar,Honey Chilli Potatoes,21
Basavanagudi,Fries,21
Brigade Road,Sea Food,21
Koramangala 1st Block,Chicken Tikka,21
BTM,Rice,21
MG Road,Penne Pasta,21
Cunningham Road,Wine,21
MG Road,Smoothie Bowl,21
Koramangala 2nd Block,Noodles,21
BTM,Noodles,21
Sarjapur Road,Sandwiches,21
Koramangala 7th Block,Phirni,21
Richmond Road,Murgh Ghee Roast,21
Whitefield,Chilli Chicken,21
Koramangala 5th Block,Arugula Salad,21
Koramangala 5th Block,Cheese Momos,21
Marathahalli,Hyderabadi Biryani,21
Koramangala 2nd Block,Gulab Jamun,21
Bellandur,Butter Chicken,21
Jayanagar,Spring Roll,20
Domlur,Sea Food,20
Malleshwaram,Momos,20
Marathahalli,Coffee,20
HSR,Shahi Tukda,20
MG Road,Hot Chocolate Fudge,20
Lavelle Road,Craft Beer,20
Ulsoor,Fish Curry,20
Koramangala 5th Block,Veg Thali,20
Jayanagar,Chicken Kebab,20
HSR,Gulab Jamun,20
HSR,Pongal,20
Indiranagar,Masala Tea,20
Residency Road,Potato Skins,20
MG Road,Chicken Pizza,20
Koramangala 7th Block,Paneer Peri Peri,20
BTM,Aloo Posto,20
Richmond Road,Omelette,20
Bannerghatta Road,Chicken Grill,20
Lavelle Road,Momos,20
Koramangala 5th Block,Ghee Rice,20
Brookefield,Butter Chicken,20
Sarjapur Road,Beer,20
Bannerghatta Road,Hara Bhara Kebab,20
Koramangala 5th Block,Pink Lemonade,20
HSR,Tiramisu,20
MG Road,Milk Shake,20
BTM,Momos,20
MG Road,Hot Chocolate,20
HSR,Falafel,20
Koramangala 7th Block,Nutella Crepe,20
Church Street,Luchi,20
Koramangala 6th Block,White Sauce Pasta,20
Koramangala 5th Block,Mysore Masala Dosa,20
Bannerghatta Road,Chilli Chicken,20
Richmond Road,Eggs Benedict,20
Basavanagudi,Chaat,20
Bellandur,Chicken Curry,20
MG Road,Waffles,20
Shanti Nagar,Paratha,20
Brookefield,Buttermilk,20
Koramangala 1st Block,Veg Thali,20
Church Street,Sandwich,20
Malleshwaram,Tea,20
Koramangala 6th Block,Rice Bowl,20
Koramangala 7th Block,Cappuccino,20
Church Street,Daab Chingri,20
Koramangala 7th Block,Fajitas,20
HSR,Sea Food,20
Lavelle Road,Pork Chops,20
Koramangala 7th Block,Baklava,20
Koramangala 5th Block,Chicken Bbq Burger,20
Church Street,Curry Crab,20
Brigade Road,Pancakes,20
Koramangala 5th Block,Carrot Cake,20
JP Nagar,Chicken Lollipop,20
Koramangala 1st Block,Chicken Curry,20
Commercial Street,Pizza,20
Residency Road,Pizza,20
Koramangala 4th Block,Margherita Pizza,20
Church Street,Chicken Sandwich,20
BTM,Chicken Biryani,20
Kalyan Nagar,Hot Dog,20
Richmond Road,Brownie Fudge,20
Bannerghatta Road,Chicken Grill,20
Bellandur,Lassi,20
MG Road,Butterscotch Ice Cream,20
MG Road,Vanilla Ice Cream,20
Domlur,Fish,20
Bannerghatta Road,Mutton Biryani,20
Koramangala 7th Block,Chicken Curry,20
Koramangala 6th Block,Masala Peanuts,20
Malleshwaram,Cocktails,20
Church Street,Fish,20
Koramangala 6th Block,Beef Chilli,20
Koramangala 5th Block,Butter Chicken Pizza,20
Lavelle Road,Wheat Beer,20
Bannerghatta Road,Noodles,20
Malleshwaram,Chaat,20
Indiranagar,Cup Cake,20
MG Road,Chocolate Cupcake,20
Koramangala 4th Block,Butter Chicken,20
Shanti Nagar,Chicken Kebab,20
Ulsoor,Squid Fry,20
Koramangala 5th Block,Dal Makhani,20
Koramangala 7th Block,Peri Peri Chicken,20
Koramangala 7th Block,Chicken Grill,20
Jayanagar,Ice Tea,20
Koramangala 5th Block,Khamiri Roti,20
Koramangala 5th Block,Brownie Shake,20
Koramangala 7th Block,Lassi,20
BTM,Buttermilk,20
Lavelle Road,Mousse,20
Indiranagar,Crispy Corn,20
Lavelle Road,Coffee,20
Banashankari,Chicken Biryani,20
Koramangala 7th Block,Firni,20
Ulsoor,Lobster,20
Koramangala 7th Block,Pancakes,20
Jayanagar,Vada Pav,20
JP Nagar,Palak Paneer,20
Koramangala 1st Block,Fish,20
Koramangala 7th Block,Rasgulla,20
Church Street,Kosha Mangsho,20
Whitefield,Pasta,20
Cunningham Road,Noodles,20
Koramangala 7th Block,Chicken Breast,20
Koramangala 6th Block,Soya Chaap,20
Bellandur,Salad,20
Frazer Town,Coffee,20
Richmond Road,Breakfast Buffet,20
Koramangala 5th Block,Ferrero Rocher,20
Koramangala 6th Block,Chole,20
Koramangala 5th Block,Chicken Grill,20
Bannerghatta Road,Roti,20
Richmond Road,Tiramisu,20
JP Nagar,Tandoori Chicken,20
Koramangala 7th Block,Chicken Roll,20
JP Nagar,Chicken Tikka,20
Koramangala 7th Block,Sweet Crepe,20
Koramangala 6th Block,Cocktails,20
Bellandur,Sea Food,20
Ulsoor,Spicy Crab Soup,20
Koramangala 6th Block,Hot Chocolate,20
MG Road,Ice Tea,20
Richmond Road,Fish,20
Church Street,Chicken Curry,20
Bannerghatta Road,Garlic Bread,20
Ulsoor,Chicken Biryani,20
Kalyan Nagar,Pancakes,20
Lavelle Road,Meatballs,20
Lavelle Road,Virgin Sangria,20
Church Street,Hunan Tofu,19
Whitefield,Sea Food,19
Koramangala 5th Block,Pork Ribs,19
BTM,Chicken Shawarama,19
Ulsoor,Bannoffee Pie,19
Residency Road,Filter Coffee,19
Brigade Road,Murgh Platter,19
Koramangala 6th Block,Pork Chilli,19
Koramangala 5th Block,Egg Chilli,19
Sarjapur Road,Lunch Buffet,19
Sarjapur Road,Rolls,19
Indiranagar,Ravioli,19
Jeevan Bhima Nagar,Pav Bhaji,19
Jayanagar,Murgh Ghee Roast,19
Bellandur,Beer,19
St. Marks Road,Paan Ice Cream,19
Koramangala 5th Block,Butter Naan,19
Koramangala 6th Block,Paneer Tikka,19
Residency Road,Noodles,19
Koramangala 4th Block,Chicken Noodle,19
Koramangala 6th Block,Tandoori Chicken,19
Koramangala 1st Block,Momos,19
Church Street,Jumbo Prawns,19
Indiranagar,Samosa,19
Ulsoor,Steak,19
Koramangala 7th Block,Cocktails,19
Bannerghatta Road,Raita,19
Electronic City,Dal Makhani,19
MG Road,Veg Sushi,19
Cunningham Road,Veg Starter,19
Koramangala 4th Block,Malai Kofta,19
Koramangala 4th Block,Berryblast,19
Indiranagar,Sweet Corn Soup,19
Residency Road,Hakka Noodles,19
Koramangala 4th Block,Gourmet Pizza,19
Church Street,Chicken Popcorn,19
Commercial Street,Rabri,19
Ulsoor,Beer,19
Sarjapur Road,Vegetable Biryani,19
Electronic City,Paratha,19
MG Road,Espresso Martini,19
Indiranagar,Kerala Parotta,19
Cunningham Road,Chicken Biryani,19
MG Road,Cappuccino,19
Koramangala 5th Block,Treasure Soup,19
Shanti Nagar,Mutton Biryani,19
Cunningham Road,Chips,19
JP Nagar,Sea Food,19
MG Road,Blueberry Muffin,19
Koramangala 7th Block,Paan Shot,19
Richmond Road,Breakfast Buffet,19
MG Road,Sandwich,19
Koramangala 7th Block,Chicken Shorba,19
Richmond Road,Breakfast Platter,19
Whitefield,Chicken Curry,19
Residency Road,French Fries,19
Koramangala 7th Block,Jumbo Prawns,19
Marathahalli,Cocktails,19
Lavelle Road,Pie,19
Bannerghatta Road,Sandwiches,19
Kalyan Nagar,Butter Chicken,19
Bellandur,Pizza,19
Malleshwaram,Coffee,19
Shanti Nagar,Sweet Lassi,19
MG Road,Wedges,19
BTM,Chicken Roll,19
Richmond Road,Roast Chicken,19
Marathahalli,Veg Thali,19
Indiranagar,Beef Fry,19
Brigade Road,Beer,19
Koramangala 1st Block,Salad,19
Banashankari,Paneer Pizza,19
Cunningham Road,Prawn Ghee Roast,19
Koramangala 5th Block,Masala Dosa,19
Cunningham Road,Tea,19
Indiranagar,Neer Dosa,19
Koramangala 4th Block,Ravioli,19
Old Airport Road,Fish,19
Banashankari,Waffles,19
MG Road,Jumbo Prawns,19
New BEL Road,Roti,19
Richmond Road,Chorizo Pav,19
Sarjapur Road,Paratha,19
Koramangala 5th Block,Prawn Sushi,19
Koramangala 5th Block,Kadhai Murgh,19
Koramangala 6th Block,Veggie Pizza,19
Shanti Nagar,Paneer Pizza,19
Koramangala 7th Block,Margherita Pizza,19
St. Marks Road,Butter Chicken Burger,19
Koramangala 7th Block,Mashed Potato,19
BTM,Chicken Kasha,19
Koramangala 6th Block,Waffles,19
Rajajinagar,Mocktails,19
Church Street,Jasmine Tea,19
Church Street,Thick Shakes,19
Koramangala 5th Block,Veg Burger,19
MG Road,Breakfast Buffet,19
JP Nagar,Sea Food,19
Ulsoor,Chicken Stroganoff,19
New BEL Road,Momos,19
Brookefield,Pasta,19
Cunningham Road,Neer Dosa,19
Indiranagar,Chips,19
Koramangala 5th Block,Chicken Nachos,19
Bannerghatta Road,Chicken Biryani,19
MG Road,Pancakes,19
Jayanagar,Appam,19
Koramangala 5th Block,Chocolate Halwa,19
Bannerghatta Road,Veg Sandwich,19
Basavanagudi,Panipuri,19
Indiranagar,Rasgulla,19
Church Street,Chicken Steak,19
Koramangala 5th Block,Jumbo Prawns,19
Cunningham Road,Steak,19
Cunningham Road,Sandwich,19
Cunningham Road,Lamb Curry,19
Koramangala 1st Block,Thali,19
Koramangala 7th Block,Thali,19
Koramangala 7th Block,Veg Nachos,19
Banashankari,Sandwiches,19
Koramangala 5th Block,Blueberry Cheesecake,19
JP Nagar,Potato Wedges,19
HSR,Oreo Shake,19
Basavanagudi,Brownie,19
BTM,Thali,19
JP Nagar,Dragon Rolls,19
Ulsoor,Pita Bread,19
Koramangala 6th Block,Draught Beer,19
Church Street,Lunch Buffet,19
Bannerghatta Road,Lemon Tea,19
Indiranagar,Pad Thai,19
Whitefield,Chocolate Cake,19
Church Street,Chicken Momo,19
Koramangala 5th Block,Pad Thai Noodle,19
Koramangala 4th Block,Bacon Pizza,19
Koramangala 5th Block,Hush Puppies,19
MG Road,Espresso,19
Koramangala 5th Block,Mushroom Soup,19
Brigade Road,Chicken Wings,19
Indiranagar,Mutton Curry,19
Koramangala 4th Block,Prawn Pizza,19
Cunningham Road,Mocktails,19
St. Marks Road,Margarita,19
Koramangala 6th Block,Mocktails,19
Sarjapur Road,Rasmalai,19
Ulsoor,Buffalo Wings,19
Ulsoor,Salsa,19
Old Airport Road,Cocktails,19
JP Nagar,Brownie,19
Lavelle Road,Dumplings,19
Commercial Street,Raj Kachori,19
St. Marks Road,Sangria,19
Frazer Town,Butter Chicken,19
Koramangala 5th Block,Watermelon Juice,19
Koramangala 5th Block,Paneer Tikka Masala,19
Bannerghatta Road,Sev Puri,19
Sarjapur Road,Dal Makhani,19
Richmond Road,Gulab Jamun,19
Indiranagar,Shikanji,19
Commercial Street,Dhokla,19
Banashankari,Dum Biryani,19
Shanti Nagar,Fish,18
Jayanagar,Paratha,18
Shanti Nagar,Chop Suey,18
Indiranagar,Shawarma,18
Brookefield,Pizza,18
Koramangala 4th Block,Sandwich,18
JP Nagar,Waffles,18
Banashankari,Masala Dosa,18
HSR,Steak,18
Cunningham Road,Kulcha,18
Sarjapur Road,Naan,18
Lavelle Road,Beef Steak,18
Koramangala 7th Block,Coffee,18
Koramangala 5th Block,Martini,18
St. Marks Road,Khau Suey,18
Whitefield,Momos,18
BTM,Chocolate Icecreams,18
Cunningham Road,Crispy Corn,18
St. Marks Road,Roti,18
Jayanagar,Roti,18
Shanti Nagar,Chicken Wings,18
Infantry Road,Cheesy Fries,18
Bannerghatta Road,Custard,18
JP Nagar,Noodles,18
Sarjapur Road,Chicken Curry,18
Infantry Road,Burgers,18
Whitefield,Raita,18
Kalyan Nagar,Brownie,18
New BEL Road,Sandwiches,18
Koramangala 5th Block,Barbecue Chicken Wings,18
Electronic City,Chicken Biryani,18
BTM,Manchow Soup,18
Shanti Nagar,Roti,18
HSR,Pasta,18
Koramangala 5th Block,Daab Chingri,18
Brigade Road,Brownie,18
BTM,Sandwiches,18
Shanti Nagar,Manchow Soup,18
Koramangala 6th Block,Vanilla Ice Cream,18
MG Road,Fries,18
Residency Road,Roti,18
Koramangala 5th Block,Ghee Roast Mutton,18
Residency Road,Mutton Biryani,18
MG Road,Long Island Iced Tea,18
Infantry Road,Burgers,18
Indiranagar,Prawn Ghee Roast,18
Banashankari,Manchow Soup,18
JP Nagar,Pasta Alfredo,18
Commercial Street,Sev Puri,18
Whitefield,Chaat,18
Banashankari,Salad,18
Infantry Road,Nachos,18
Sarjapur Road,Salad,18
Basavanagudi,Roti,18
BTM,Monster Burger,18
Ulsoor,Peri Peri Chicken Burger,18
HSR,Shawarma,18
Residency Road,Hyderabadi Biryani,18
Ulsoor,Cappuccino,18
Shivajinagar,Tandoori Chicken,18
Koramangala 6th Block,Shawarma,18
Old Airport Road,Pasta,18
Ulsoor,Chocolate Overload,18
Ulsoor,Chicken Baguette,18
Ulsoor,Mudcake,18
Koramangala 6th Block,Neer Dosa,18
Infantry Road,Pasta,18
BTM,Faluda,18
St. Marks Road,Drunken Beef,18
Koramangala 5th Block,Chaap,18
Bannerghatta Road,Gulab Jamun,18
Infantry Road,Fries,18
Residency Road,Nachos,18
Marathahalli,Noodles,18
Koramangala 6th Block,Mutton Kosha,18
St. Marks Road,Chicken Tikka,18
Banashankari,Salsa,18
Infantry Road,Peri Peri Chicken Pizza,18
Shanti Nagar,Biryani,18
Sarjapur Road,Raita,18
Electronic City,Tea,18
JP Nagar,Hot Chocolate,18
Koramangala 6th Block,Ghee Rice,18
HSR,Chicken Grill,18
Infantry Road,Ice Tea,18
Malleshwaram,Beer,18
Cunningham Road,Sangria,18
Frazer Town,Chicken Biryani,18
Indiranagar,Caramel Custard,18
Shanti Nagar,Dumplings,18
Indiranagar,Steak,18
Jayanagar,Pongal,18
Ulsoor,Freak Shake,18
St. Marks Road,Jalebi,18
Jayanagar,Tandoori Chicken,18
BTM,Pizza,18
Koramangala 1st Block,Rolls,18
Ulsoor,Momos,18
Ulsoor,Peri Peri Chicken Pizza,18
Koramangala 4th Block,Prawn,18
Church Street,Peri Peri Chicken,18
Brookefield,Burgers,18
BTM,Vada,18
Lavelle Road,Beer,18
BTM,Fries,18
Koramangala 6th Block,Appam,18
Koramangala 5th Block,Calamari,18
St. Marks Road,Chicken Biryani,18
Lavelle Road,Risotto,18
BTM,Chole Bhature,18
Brigade Road,Filter Coffee,18
Frazer Town,Chop Suey,18
HSR,Chicken Kebab,18
Shanti Nagar,Paneer Tikka Masala,18
St. Marks Road,Virgin Mojito,18
BTM,Poha,18
MG Road,Chocolate Cake,18
Infantry Road,Bbq Chicken Pizza,18
St. Marks Road,Dahi Ke Kabab,18
Lavelle Road,Beef Chilli,18
Cunningham Road,Fish,18
Infantry Road,Beef Burger,18
Koramangala 4th Block,Waffles,18
Bannerghatta Road,Gajar Ka Halwa,18
Lavelle Road,Gnocchi,18
Koramangala 5th Block,Thai Crispy Chicken,18
Koramangala 6th Block,Chicken Tikka,18
HSR,Bruschettas,18
Domlur,Sunday Brunch,18
Infantry Road,Lamb,18
Marathahalli,Salad,18
Lavelle Road,Tempura Prawns,18
Koramangala 6th Block,Tiramisu,18
Infantry Road,Bbq Burger,18
St. Marks Road,Sushi,18
St. Marks Road,Dumplings,18
Koramangala 5th Block,Gulab Jamun,18
St. Marks Road,Beer,18
Koramangala 6th Block,Salads,18
JP Nagar,Poha,18
Cunningham Road,Peas Pulao,18
Race Course Road,Biryani,18
Basavanagudi,Coffee,18
BTM,Basanti Pulao,18
Koramangala 6th Block,Rolls,18
Koramangala 5th Block,Watermelon Martini,18
Kammanahalli,Paratha,18
Infantry Road,Steak Burger,18
Church Street,Fries,18
Church Street,Tiramisu,18
Banashankari,Hot Chocolate Fudge,17
Brigade Road,Dahi Vada,17
Koramangala 5th Block,Cream Mango,17
BTM,Shawarma Roll,17
Koramangala 4th Block,Noodles,17
Kalyan Nagar,Mutton Biryani,17
JP Nagar,Veggie Pizza,17
Commercial Street,Rose Faluda,17
BTM,Paneer Tikki,17
Lavelle Road,Plain Rice,17
Kammanahalli,Mocktails,17
Cunningham Road,Shahi Tukda,17
Cunningham Road,Sandwiches,17
Kalyan Nagar,Pasta,17
BTM,Chicken Dum Biryani,17
Bannerghatta Road,Dal Makhani,17
Jayanagar,Halwa,17
MG Road,Margherita Pizza,17
Whitefield,Appam,17
Koramangala 6th Block,Brownie Shake,17
Jayanagar,Cheesecake,17
MG Road,Paneer Satay,17
Jayanagar,Mojito,17
MG Road,Sangria,17
Koramangala 5th Block,Spicy Chicken,17
Cunningham Road,Mozzarella Sticks,17
BTM,Mango Margarita,17
Banashankari,Waffles,17
Koramangala 5th Block,Custard Apple Cream,17
Brigade Road,Dunkaccinos,17
Brigade Road,Rajasthani Thali,17
Bannerghatta Road,Barbeque Chicken,17
BTM,Kadai Paneer,17
Church Street,Bbq Chicken Pizza,17
New BEL Road,Rolls,17
Kalyan Nagar,Chicken Curry,17
Koramangala 8th Block,Mousse,17
Bellandur,Chocolate Cake,17
Koramangala 6th Block,Raj Kachori,17
Lavelle Road,Thali,17
Residency Road,Fish Grill,17
Kalyan Nagar,Beer,17
Brigade Road,Chocolate Drink,17
Cunningham Road,Bruschettas,17
Brookefield,Gulab Jamun,17
Kammanahalli,Steak,17
Lavelle Road,Malpua,17
Cunningham Road,Gulab Jamun,17
Church Street,Nutella Pancakes,17
Koramangala 8th Block,Fries,17
Vasanth Nagar,Pasta,17
Kammanahalli,Chicken Curry,17
Koramangala 5th Block,Vanilla Ice Cream,17
Residency Road,Pie,17
JP Nagar,Vada,17
Marathahalli,Momos,17
Brigade Road,Bagel,17
Whitefield,Salads,17
Bellandur,Butter Naan,17
Marathahalli,Burgers,17
Koramangala 8th Block,Pasta,17
Indiranagar,Cheesy Fries,17
Cunningham Road,Fish,17
Cunningham Road,Lemonade,17
HSR,Chicken Lollipop,17
Brigade Road,Buttermilk,17
HSR,Buttermilk,17
Indiranagar,Mutton Biryani,17
Koramangala 4th Block,Margherita Pizza,17
Brigade Road,Chicken Seekh Roll,17
Basavanagudi,Pav Bhaji,17
Koramangala 7th Block,Manchow Soup,17
Malleshwaram,Roti,17
Frazer Town,Cheesecake,17
